0.000000e+00 6.520000e+03 7.680000e+13
1.000000e+07 5.410000e+03 9.890000e+12
2.000000e+07 4.990000e+03 3.930000e+12
3.000000e+07 4.770000e+03 1.710000e+12
4.000000e+07 4.560000e+03 7.240000e+11
5.000000e+07 4.407100e+03 3.031400e+11
6.000000e+07 4.550000e+03 1.260000e+11
7.000000e+07 5.004500e+03 8.348200e+10
8.000000e+07 5.469000e+03 1.066100e+11
9.000000e+07 5.744500e+03 1.231000e+11
1.000000e+08 5.900000e+03 1.100000e+11
1.100000e+08 6.057300e+03 9.626900e+10
1.200000e+08 6.218800e+03 8.425200e+10
1.300000e+08 6.384700e+03 7.373500e+10
1.400000e+08 6.554900e+03 6.453100e+10
1.500000e+08 6.729700e+03 5.647600e+10
1.600000e+08 6.909200e+03 4.942600e+10
1.700000e+08 7.093400e+03 4.325600e+10
1.800000e+08 7.282500e+03 3.785700e+10
1.900000e+08 7.476700e+03 3.313100e+10
2.000000e+08 7.676100e+03 2.899600e+10
2.100000e+08 7.880800e+03 2.537600e+10
2.200000e+08 8.090900e+03 2.220900e+10
2.300000e+08 8.306700e+03 1.943600e+10
2.400000e+08 8.528200e+03 1.701000e+10
2.500000e+08 8.755600e+03 1.488700e+10
2.600000e+08 8.989000e+03 1.302900e+10
2.700000e+08 9.228700e+03 1.140200e+10
2.800000e+08 9.474800e+03 9.979000e+09
2.900000e+08 9.727500e+03 8.733300e+09
3.000000e+08 9.986800e+03 7.643200e+09
3.100000e+08 1.025300e+04 6.689100e+09
3.200000e+08 1.052700e+04 5.854100e+09
3.300000e+08 1.080700e+04 5.123400e+09
3.400000e+08 1.109500e+04 4.483800e+09
3.450000e+08 1.124200e+04 4.194700e+09
3.500000e+08 1.292100e+04 3.917100e+09
3.550000e+08 8.953600e+04 3.305100e+09
3.600000e+08 1.672300e+05 2.658300e+09
3.650000e+08 2.530400e+05 1.729700e+09
3.700000e+08 2.992400e+05 1.528100e+09
3.750000e+08 3.454400e+05 1.326400e+09
3.800000e+08 3.916400e+05 1.124700e+09
3.900000e+08 4.215400e+05 1.052600e+09
4.000000e+08 4.467400e+05 1.005500e+09
4.100000e+08 4.719400e+05 9.582900e+08
4.250000e+08 5.097400e+05 8.875500e+08
4.450000e+08 5.601400e+05 7.932200e+08
4.700000e+08 6.231500e+05 6.753100e+08
5.000000e+08 6.572400e+05 6.350300e+08
5.400000e+08 6.963300e+05 5.968700e+08
5.900000e+08 7.451800e+05 5.491700e+08
6.550000e+08 8.018000e+05 4.964800e+08
7.400000e+08 8.450000e+05 4.692500e+08
8.500000e+08 9.009000e+05 4.340100e+08
9.850000e+08 9.695100e+05 3.907600e+08
1.165000e+09 1.019500e+06 3.604000e+08
1.390000e+09 1.056100e+06 3.395200e+08
1.680000e+09 1.103300e+06 3.126000e+08
2.055000e+09 1.164400e+06 2.778000e+08
2.535000e+09 1.242500e+06 2.332500e+08
3.145000e+09 1.327000e+06 1.965400e+08
3.930000e+09 1.431900e+06 1.544000e+08
