0.000000e+00 6.520000e+03 7.680000e+13
1.000000e+07 5.410000e+03 9.890000e+12
2.000000e+07 4.990000e+03 3.930000e+12
3.000000e+07 4.770000e+03 1.710000e+12
4.000000e+07 4.560000e+03 7.240000e+11
5.000000e+07 4.407100e+03 3.031400e+11
6.000000e+07 4.550000e+03 1.260000e+11
7.000000e+07 5.004500e+03 8.348200e+10
8.000000e+07 5.469000e+03 1.066100e+11
9.000000e+07 5.744500e+03 1.231000e+11
1.000000e+08 5.900000e+03 1.100000e+11
1.100000e+08 6.608000e+03 1.060300e+11
1.200000e+08 7.316000e+03 1.020600e+11
1.300000e+08 8.024000e+03 9.809000e+10
1.400000e+08 8.732000e+03 9.412000e+10
1.500000e+08 9.440000e+03 9.015000e+10
1.600000e+08 1.014800e+04 8.618000e+10
1.700000e+08 1.085600e+04 8.221000e+10
1.800000e+08 1.156400e+04 7.824000e+10
1.900000e+08 1.227200e+04 7.427000e+10
2.000000e+08 1.298000e+04 7.030000e+10
2.100000e+08 1.368800e+04 6.633000e+10
2.200000e+08 1.439600e+04 6.236000e+10
2.300000e+08 1.510400e+04 5.839000e+10
2.400000e+08 1.581200e+04 5.442000e+10
2.500000e+08 1.652000e+04 5.045000e+10
2.600000e+08 1.722800e+04 4.648000e+10
2.700000e+08 1.793600e+04 4.251000e+10
2.800000e+08 1.864400e+04 3.854000e+10
2.900000e+08 1.935200e+04 3.457000e+10
3.000000e+08 2.006000e+04 3.060000e+10
3.050000e+08 8.953600e+05 1.322040e+10
3.100000e+08 1.672300e+06 1.063320e+10
3.150000e+08 2.530400e+06 6.918800e+09
3.200000e+08 2.992400e+06 6.112400e+09
3.250000e+08 3.454400e+06 5.305600e+09
3.300000e+08 3.916400e+06 4.498800e+09
3.400000e+08 4.215400e+06 4.210400e+09
3.500000e+08 4.467400e+06 4.022000e+09
3.600000e+08 4.719400e+06 3.833160e+09
3.750000e+08 5.097400e+06 3.550200e+09
3.950000e+08 5.601400e+06 3.172880e+09
4.200000e+08 6.231500e+06 2.701240e+09
4.500000e+08 6.572400e+06 2.540120e+09
4.900000e+08 6.963300e+06 2.387480e+09
5.400000e+08 7.451800e+06 2.196680e+09
6.050000e+08 8.018000e+06 1.985920e+09
6.900000e+08 8.450000e+06 1.877000e+09
8.000000e+08 9.009000e+06 1.736040e+09
9.350000e+08 9.695100e+06 1.563040e+09
1.115000e+09 1.019500e+07 1.441600e+09
1.340000e+09 1.056100e+07 1.358080e+09
1.630000e+09 1.103300e+07 1.250400e+09
2.005000e+09 1.164400e+07 1.111200e+09
2.485000e+09 1.242500e+07 9.330000e+08
3.095000e+09 1.327000e+07 7.861600e+08
3.880000e+09 1.431900e+07 6.176000e+08
